date,Climate ID,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
1973-09-01,8200015,22.8,15.6,19.2,0.0,1.2,0.0,0.0,0.0,,,
1973-09-02,8200015,23.9,15.6,19.8,0.0,1.8,0.0,0.0,0.0,,,
1973-09-03,8200015,23.9,17.8,20.9,0.0,2.9,0.0,0.0,0.0,,,
1973-09-04,8200015,22.8,11.7,17.3,0.7,0.0,0.0,0.0,0.0,,,
1973-09-05,8200015,18.9,7.8,13.4,4.6,0.0,0.0,0.0,0.0,,,
1973-09-06,8200015,20.6,9.4,15.0,3.0,0.0,13.0,0.0,13.0,,,
1973-09-07,8200015,22.2,9.4,15.8,2.2,0.0,0.0,0.0,0.0,,,
1973-09-08,8200015,17.2,10.6,13.9,4.1,0.0,0.0,0.0,0.0,,,
1973-09-09,8200015,16.7,10.6,13.7,4.3,0.0,0.0,0.0,0.0,,,
1973-09-10,8200015,17.2,10.6,13.9,4.1,0.0,0.3,0.0,0.3,,,
1973-09-11,8200015,21.7,6.7,14.2,3.8,0.0,0.0,0.0,0.0,,,
1973-09-12,8200015,18.9,9.4,14.2,3.8,0.0,0.3,0.0,0.3,,,
1973-09-13,8200015,19.4,8.3,13.9,4.1,0.0,0.0,0.0,0.0,,,
1973-09-14,8200015,18.3,7.2,12.8,5.2,0.0,0.0,0.0,0.0,,,
1973-09-15,8200015,16.1,8.3,12.2,5.8,0.0,0.0,0.0,0.0,,,
1973-09-16,8200015,19.4,10.0,14.7,3.3,0.0,0.0,0.0,0.0,,,
1973-09-17,8200015,16.7,11.1,13.9,4.1,0.0,0.0,0.0,0.0,,,
1973-09-18,8200015,19.4,3.9,11.7,6.3,0.0,1.3,0.0,1.3,,,
1973-09-19,8200015,16.7,6.1,11.4,6.6,0.0,0.0,0.0,0.0,,,
1973-09-20,8200015,18.9,6.1,12.5,5.5,0.0,0.3,0.0,0.3,,,
1973-09-21,8200015,12.2,8.3,10.3,7.7,0.0,1.0,0.0,1.0,,,
1973-09-22,8200015,14.4,4.4,9.4,8.6,0.0,7.4,0.0,7.4,,,
1973-09-23,8200015,12.2,5.6,8.9,9.1,0.0,0.3,0.0,0.3,,,
1973-09-24,8200015,13.3,7.2,10.3,7.7,0.0,0.0,0.0,0.0,,,
1973-09-25,8200015,17.2,0.6,8.9,9.1,0.0,0.3,0.0,0.3,,,
1973-09-26,8200015,17.8,1.7,9.8,8.2,0.0,0.0,0.0,0.0,,,
