,Climate ID,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
0,8200091,1992-12-04,0.8,-6.2,-2.7,20.7,0.0,,,,,,<31
1,8200091,1992-12-05,-0.6,-6.2,-3.4,21.4,0.0,,,,,,<31
2,8200091,1992-12-06,-3.5,-9.6,-6.6,24.6,0.0,,,,,,<31
3,8200091,1992-12-07,-0.4,-8.8,-4.6,22.6,0.0,,,,,,<31
4,8200091,1992-12-08,-8.6,-12.4,-10.5,28.5,0.0,,,,,,<31
5,8200091,1992-12-09,-5.7,-12.0,-8.9,26.9,0.0,,,,,,<31
6,8200091,1992-12-10,,,,,,,,,,,
7,8200091,1992-12-11,,,,,,,,,,,
8,8200091,1992-12-12,,,,,,,,,,,
9,8200091,1992-12-13,,,,,,,,,,,
10,8200091,1992-12-14,0.0,-2.6,-1.3,19.3,0.0,,,,,,<31
11,8200091,1992-12-15,2.5,-2.8,-0.2,18.2,0.0,,,,,,<31
12,8200091,1992-12-16,4.5,-1.6,1.5,16.5,0.0,,,,,,<31
13,8200091,1992-12-17,8.6,3.1,5.9,12.1,0.0,,,,,,<31
14,8200091,1992-12-18,,,,,,,,,,,
15,8200091,1992-12-19,,,,,,,,,,,
16,8200091,1992-12-20,7.5,0.0,3.8,14.2,0.0,,,,,,<31
17,8200091,1992-12-21,0.4,-10.1,-4.9,22.9,0.0,,,,,,<31
18,8200091,1992-12-22,1.6,-11.6,-5.0,23.0,0.0,,,,,,<31
19,8200091,1992-12-23,0.8,0.0,0.4,17.6,0.0,,,,,,<31
20,8200091,1992-12-24,,,,,,,,,,,
21,8200091,1992-12-25,,,,,,,,,,,
22,8200091,1992-12-26,,,,,,,,,,,
23,8200091,1992-12-27,,,,,,,,,,,
24,8200091,1992-12-28,,,,,,,,,,,
25,8200091,1992-12-29,,,,,,,,,,,
26,8200091,1992-12-30,-3.5,-5.2,-4.4,22.4,0.0,,,,,,<31
27,8200091,1992-12-31,-0.6,-4.4,-2.5,20.5,0.0,,,,,,<31
0,8200091,1993-01-01,-1.2,-13.1,-7.2,25.2,0.0,,,,,,<31
1,8200091,1993-01-02,-13.1,-18.6,-15.9,33.9,0.0,,,,,,<31
2,8200091,1993-01-03,-4.5,-19.3,-11.9,29.9,0.0,,,,,,<31
3,8200091,1993-01-04,6.9,-4.5,1.2,16.8,0.0,,,,,,<31
4,8200091,1993-01-05,8.9,-2.8,3.1,14.9,0.0,,,,,,<31
5,8200091,1993-01-06,-2.0,-5.5,-3.8,21.8,0.0,,,,,,<31
6,8200091,1993-01-07,1.7,-4.2,-1.3,19.3,0.0,,,,,,<31
7,8200091,1993-01-08,1.2,-11.8,-5.3,23.3,0.0,,,,,,<31
8,8200091,1993-01-09,-11.8,-18.8,-15.3,33.3,0.0,,,,,,<31
9,8200091,1993-01-10,,,,,,,,,,,
10,8200091,1993-01-11,,,,,,,,,,,
11,8200091,1993-01-12,-4.0,-15.7,-9.9,27.9,0.0,,,,,,<31
12,8200091,1993-01-13,-8.6,-12.0,-10.3,28.3,0.0,,,,,,<31
13,8200091,1993-01-14,-10.5,-17.6,-14.1,32.1,0.0,,,,,,<31
14,8200091,1993-01-15,-4.2,-17.6,-10.9,28.9,0.0,,,,,,<31
15,8200091,1993-01-16,-1.7,-8.5,-5.1,23.1,0.0,,,,,,<31
16,8200091,1993-01-17,-2.6,-13.3,-8.0,26.0,0.0,,,,,,<31
17,8200091,1993-01-18,-1.3,-13.8,-7.6,25.6,0.0,,,,,,<31
18,8200091,1993-01-19,-13.8,-19.3,-16.6,34.6,0.0,,,,,,<31
19,8200091,1993-01-20,,,,,,,,,,,
20,8200091,1993-01-21,,,,,,,,,,,
21,8200091,1993-01-22,,,,,,,,,,,
22,8200091,1993-01-23,,,,,,,,,,,
23,8200091,1993-01-24,,,,,,,,,,,
24,8200091,1993-01-25,,,,,,,,,,,
25,8200091,1993-01-26,,,,,,,,,,,
26,8200091,1993-01-27,,,,,,,,,,,
27,8200091,1993-01-28,,,,,,,,,,,
28,8200091,1993-01-29,,,,,,,,,,,
29,8200091,1993-01-30,,,,,,,,,,,
30,8200091,1993-01-31,-21.3,-29.7,-25.5,43.5,0.0,,,,,,<31
0,8200091,1993-02-06,-15.2,-28.3,-21.8,39.8,0.0,,,,,,<31
1,8200091,1993-02-07,-13.7,-30.7,-22.2,40.2,0.0,,,,,,<31
2,8200091,1993-02-08,-1.6,-16.6,-9.1,27.1,0.0,,,,,,<31
3,8200091,1993-02-09,-12.5,-18.8,-15.7,33.7,0.0,,,,,,<31
4,8200091,1993-02-10,1.3,-19.5,-9.1,27.1,0.0,,,,,,<31
5,8200091,1993-02-11,-2.8,-16.2,-9.5,27.5,0.0,,,,,,<31
6,8200091,1993-02-12,,,,,,,,,,,
7,8200091,1993-02-13,,,,,,,,,,,
8,8200091,1993-02-14,,,,,,,,,,,
9,8200091,1993-02-15,,,,,,,,,,,
10,8200091,1993-02-16,,,,,,,,,,,
11,8200091,1993-02-17,,,,,,,,,,,
12,8200091,1993-02-18,,,,,,,,,,,
13,8200091,1993-02-19,,,,,,,,,,,
14,8200091,1993-02-20,-8.1,-16.7,-12.4,30.4,0.0,,,,,,<31
15,8200091,1993-02-21,-12.5,-20.6,-16.6,34.6,0.0,,,,,,<31
16,8200091,1993-02-22,-7.1,-14.8,-11.0,29.0,0.0,,,,,,<31
17,8200091,1993-02-23,-7.1,-10.5,-8.8,26.8,0.0,,,,,,<31
18,8200091,1993-02-24,-1.3,-7.1,-4.2,22.2,0.0,,,,,,<31
19,8200091,1993-02-25,,,,,,,,,,,
20,8200091,1993-02-26,,,,,,,,,,,
21,8200091,1993-02-27,-7.3,-16.3,-11.8,29.8,0.0,,,,,,<31
22,8200091,1993-02-28,-7.5,-17.2,-12.4,30.4,0.0,,,,,,<31
0,8200091,1993-03-03,1.3,-5.2,-2.0,20.0,0.0,,,,,,<31
1,8200091,1993-03-04,-1.8,-13.5,-7.7,25.7,0.0,,,,,,<31
2,8200091,1993-03-05,-5.0,-13.5,-9.3,27.3,0.0,,,,,,<31
3,8200091,1993-03-06,-3.4,-6.2,-4.8,22.8,0.0,,,,,,<31
4,8200091,1993-03-07,-3.4,-7.7,-5.6,23.6,0.0,,,,,,<31
5,8200091,1993-03-08,,,,,,,,,,,
6,8200091,1993-03-09,,,,,,,,,,,
